Segment Name,Activity ID,Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude
Ohlone Wilderness Trail (Mission Peak Summit (south decsent) to Sunol),42179828,37.512738,-121.881336,37.514023,-121.830429
Los Trancos Trail CCW,16586225,37.362564,-122.18664,37.358238,-122.181649
Laughlin Ranch Loop Climb,48858645,37.726624,-121.708557,37.739137,-121.700445
Killer warm up,53717685,37.39429,-121.814726,37.395848,-121.812805
"Mission, Northbound (Hunter to Walnut)",57873435,37.521089,-121.917786,37.5654,-121.961257
My 10K,76311517,37.541236,-121.968712,37.54265,-121.964189
Quail Hollow Sunset Trail Climb,89129238,37.086116,-122.067456,37.091234,-122.061452
Newell Creek Road Climb,110923623,37.08811,-122.078045,37.088701,-122.080491
Newell Creek Road Climb,110923623,37.08811,-122.078045,37.088701,-122.080491
Arastradero to El Monte and Back,112700229,37.398378,-122.133996,37.398203,-122.133332
BL Loop CW,169620743,37.089032,-122.073324,37.089334,-122.073453
Secret Rollercoaster,175120981,37.0404,-122.054142,37.034872,-122.057148
Extra Credit on Bear Mtn plus secret rollercoaster,184453540,37.041219,-122.053015,37.033167,-122.056525
Quick Loop 1,199094580,37.03939,-122.05813,37.039234,-122.058221
Ridge Trail Downhill (Borel Hill to Parking Lot),222928915,37.319533,-122.199687,37.315475,-122.18872
Fireroad down hill from ridge to ancient oaks,227672515,37.318187,-122.195833,37.314927,-122.197439
Bo Gimbal Trail DH plus Ancient Oaks Towards Alpine,227672515,37.319444,-122.200205,37.314808,-122.197647
Fireroad UH from ridge to ancient oaks,227672515,37.315082,-122.197438,37.318214,-122.195428
Ridge Trail DH from last junction to parking lot,227672515,37.318214,-122.195428,37.31545,-122.188713
Bo Gimbal DH,227672515,37.319444,-122.200205,37.316562,-122.200992
Fremont Loop 1,1606327,37.541413,-121.968584,37.540933,-121.96917
Rim Road Climb,101912164,37.082734,-122.093323,37.080944,-122.09628
JN DH (GPS Error),327731265,37.219435,-122.06891,37.220027,-122.055815
Mount Dana Ascent (Following Trail),381961492,37.910858,-119.257556,37.899806,-119.221159
Mount Dana Descent (Following Trail),381961492,37.899978,-119.221467,37.910857,-119.257632
Mount Dana Ascent: Last 1000 feet of climbing,381961492,37.902843,-119.227989,37.900087,-119.221567
Borel Hill Sprint,490745109,37.319699,-122.199846,37.320105,-122.199771
Sierra Vista Parking Lot to Alum Rock Back Parking Lot,565796741,37.408816,-121.800949,37.39713,-121.798223
SCT North From Creekside Park to Google,3840928244,37.397326,-122.068099,37.424579,-122.068798
SCT South From Google to Creekside Park,3840928244,37.424579,-122.068811,37.396912,-122.067989
Montebello Climb (GPS Errors),4055572865,37.295513,-122.084509,37.305746,-122.12733
KayEfffCee Morning Commute,5047226205,37.398851,-122.066388,37.434492,-122.172086
KayEfffCee Commute Home,5052262147,37.434156,-122.17211,37.398719,-122.067089
